"vis" "X__2" "X__3" "X__4" "X__5" "X__6" "X__7" "X__8" "X__9" "X__10" "X__11" "X__12" "X__13" "X__16" "X__17" "X__18" "X__19" "X__20" "X__21" "X__22" "X__23" "X__24" "X__25" "X__26" "X__27" "X__29" "X__30" "X__31" "X__32" "X__33" "X__34" "X__35" "X__36" "X__37" "X__38" "X__39" "X__40" "X__43" "X__44" "X__45" "X__46" "X__47" "X__48" "X__49" "X__50" "X__51" "X__53" "X__54" "X__55" "X__56" "X__57" "X__58" "X__59" "X__64" "X__65" "X__66" "X__67" "X__68" "X__69" "X__70" "X__71" "X__72" "X__73" "X__74" "X__75" "X__76" "X__78" "X__81" "X__82" "X__83" "X__84" "X__86" "X__87" "X__88" "X__89" "X__90" "X__91" "X__92" "X__93" "X__94" "X__95" "X__96" "X__98" "X__99" "X__100" "X__101" "X__103" "X__104" "X__106" "X__108" "X__109" "X__110" "X__111" "X__112" "X__113" "X__114" "X__115" "X__116" "X__117" "X__118" "X__119" "X__120" "X__121" "X__122" "X__123" "X__124" "X__125" "X__127" "X__128" "X__130" "X__131" "X__132" "X__133" "X__135" "X__136" "X__138"
"28" 36 0 0 6.3 0 0 0 12.13 0 0 0 0 0 0 0 1.5 0 3.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 15.17 0 1.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 47.35 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.25 1.4
"29" 14 0 0 6.08 0 0 0 12 0 0 0 0 0 0 0 1.5 0 3.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 4 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 11.88 0 1.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43.99 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.25 1.4
"30" 14 0 0 6.08 0 0 0 12 0 0 0 0 0 0 0 1.5 0 3.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 4 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 11.88 0 1.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43.99 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.25 1.4
"31" 93 0 0 0 0 0 0 11.48 0 0 0 0 0 0 0 7.44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.67 0 0 0 13.35 0 0.78 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 61.28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"32" 14 0 0 9.07 0 0 0 12.22 0 0.46 0 0 0 0 0 3.96 0 0 0 0 0 0 0 0.5 0 0.3 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 1.5 0 2.2 0 0 0 15.45 0 0 0 0.5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0.24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"33" 95 0 0 3.5 0 0 0 16.5 0 0.46 0 0 0 0 0 2 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0.08 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 7 0 0.32 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 58.5 0 0 0 0 0 0.24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
"34" 25 0 0 7.55 0 0 0 16.5 0 0.46 0 0 0 0 0 2 0 0 0 2.44 0 0 0 0.5 0 0.3 0 0 0 0 0 0 0 0 0 2.44 0 0 0 0 0 0.4 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1.5 0 0 0 0 0 16.97 0 1.6 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6 0 0 0 0 0 0 0 40 0 0 0 0 0 0.24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
"35" 145 0 0 3.5 0 0 0 8 0 0.46 0 0 0 0 0 5 0 0 0 0.1 0 0 0 0.5 0 0.3 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 1.5 0 1.6 0 0 0 7.2 0 0 0 0.5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0.6 0 0 0 0 0 0 0 58.5 0 0 0 0 0 0.24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
"36" 34 0 0 2 0 0 0 8 0 0.46 0 0 0 0 0 5 0 0 0 2 0 0 0 0.5 0 0.3 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 1.5 0 0 0 0 0 14.4 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6 0 0 0 0 0 0 0 58.5 0 0 0 0 0 0.24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"37" 41 0 0 15 0 0 0 16.5 0 0.46 0 0 0 0 0 2 0 0 0 0.17 0 0 0 0.5 0 0.3 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 1.5 0 0 0 0 0 12 0 0 0 0.5 0 0 0 0.17 0 0 0 0 0 0 0 0 0 0 0.6 0 0 0 0 0 0 0 44.06 0 0 0 0 0 0.24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
