"vis","X__3","X__4","X__8","X__10","X__17","X__18","X__29","X__30","X__43","X__46","X__48","X__49","X__53","X__57","X__59","X__64","X__67","X__71","X__74","X__84","X__86","X__106","X__109","X__113","X__115","X__117","X__133","X__138","autres"
327,0,11.75,16.5,0.46,0,2,0,0,0,0,0,0,0,0,1,0,0,0,9.4,0,0,0,50.25,0,0.24,0,0,0,8.40000000000001
63,0,8.61,11.23,0.46,0,2,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0.67,0,53.39,0,0.24,0,0,0,2.40000000000001
85,0,6.3,15.98,0,0,4.5,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,52.17,0,0.2,0,0,1.4,7.45
17,0,6.3,17,0,0,4.5,0,0,0,2,0,0,0,0,1,0,0,0,11.65,0,0,0,41,0,0.2,0,0,1.4,14.95
41,0,1.7,17,0,0,1.5,0,0,0,2,0,0,0,0,1,3,0,0,11,0,0,0,50.75,0,0.2,0,0,1.4,10.45
15,0,1.7,17,0,0,1.5,0,0,0,0,0,0,0,0,3,3,0,0,11,0,0,0,45.25,0,0.2,0,0,1.4,15.95
14,0,1.7,17,0,0,1.5,0,0,0,0,0,0,0,0,3,3,0,0,11,0,0,0,45.25,0,0.2,0,0,1.4,15.95
19,0,1.7,17,0,0,1.5,0,0,0,2,0,0,0,0,3,0,0,0,11,0,0,0,50.25,0,0.2,0,0,1.4,11.95
1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.09,0,0,0,79.9,0,0,0,0,0,0.00999999999999091
24,0,1.7,17,0,0,1.5,0,0,0,2,0,0,0,0,3,0,0,0,11,0,0,0,50.25,0,0.2,0,0,1.4,11.95
484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.97,0,0,0,75.02,0,0,0,0,0,0.0100000000000051
28,0,1.7,12.33,0,0,4.5,0,0,0,0,0,0,0,0,1,0,0,0,15.42,0,0,0,53,0,0.2,0,0,1.4,10.45
264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.09,0,0,0,69.9,0,0,0,0,0,0.00999999999999091
15,0,6.3,12.73,0,0,1.5,0,0,0,2,0,0,0,0,3,0,0,0,15.92,0,0,0,41,0,0.2,0,0,1.4,15.95
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,64.99,0,0,0,0,0,0.0100000000000051
20,0,6.3,17,0,0,1.5,0,0,0,0,0,0,0,0,1,0,0,0,16.5,0,0,0,44.1,0,0.2,0,0,1.4,12
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,60.56,0,0,0,0,0,0.00999999999999091
20,0,6.3,17,0,0,1.5,0,0,0,0,0,0,0,0,1,0,0,0,16.5,0,0,0,44.1,0,0.2,0,0,1.4,12
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.56,0,0,0,54.43,0,0,0,0,0,0.00999999999999091
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.97,0,0,0,51.02,0,0,0,0,0,0.00999999999999091
8,0,1.7,12.73,0,0,4.5,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,42.02,0,0.2,0,0,1.4,23.45
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.17,0,0,0,49.82,0,0,0,0,0,0.00999999999999091
9,0,1.7,12.73,0,0,4.5,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,42.02,0,0.2,0,0,1.4,23.45
9,0,1.7,12.73,0,0,4.5,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,42.02,0,0.2,0,0,1.4,23.45
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.77,0,0,0,49.22,0,0,0,0,0,0.00999999999999091
15,0,1.7,13.01,0,0,4.5,0,0,0,0,0,0,0,0,1,3,0,0,16.26,0,0,0,46.98,0,0.2,0,0,1.4,11.95
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.97,0,0,0,48.02,0,0,0,0,0,0.00999999999999091
16,0,1.7,13.01,0,0,4.5,0,0,0,0,0,0,0,0,1,3,0,0,16.26,0,0,0,46.98,0,0.2,0,0,1.4,11.95
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.36,0,0,0,44.63,0,0,0,0,0,0.00999999999999091
